OBJECTID,DESCRIPTION,ID,TOTPOP_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,85328 (Cibola),85328,165,165,527471250.0,162187.00041854146,1756054349282,Synapse54,1756054349282,Synapse54
2,92324 (Colton),92324,56814,56814,103893750.0,95493.09326340992,1756054349282,Synapse54,1756054349282,Synapse54
3,85334 (Ehrenberg),85334,650,650,14281250.0,17788.853656653973,1756054349282,Synapse54,1756054349282,Synapse54
4,92325 (Crestline),92325,9544,9544,40745000.0,36360.74748998447,1756054349282,Synapse54,1756054349282,Synapse54
5,85344 (Parker),85344,9484,9484,2314440000.0,344326.42202693666,1756054349282,Synapse54,1756054349282,Synapse54
6,92327 (Daggett),92327,400,400,117928750.0,70424.41944943395,1756054349282,Synapse54,1756054349282,Synapse54
7,85356 (Wellton),85356,4039,4039,13072497500.0,801783.4171452732,1756054349282,Synapse54,1756054349282,Synapse54
8,85364 (Yuma),85364,77682,77682,110230000.0,45460.76683107735,1756054349282,Synapse54,1756054349282,Synapse54
9,85365 (Yuma),85365,58030,58030,1266628750.0,392610.306711916,1756054349282,Synapse54,1756054349282,Synapse54
10,86403 (Lake Havasu City),86403,19168,19168,59838750.0,57038.76479084641,1756054349282,Synapse54,1756054349282,Synapse54
11,86404 (Lake Havasu City),86404,20285,20285,742061250.0,137802.6121169432,1756054349282,Synapse54,1756054349282,Synapse54
12,86406 (Lake Havasu City),86406,26703,26703,938367500.0,155025.73963829104,1756054349282,Synapse54,1756054349282,Synapse54
13,86426 (Fort Mohave),86426,17851,17851,126391250.0,55703.99409195367,1756054349282,Synapse54,1756054349282,Synapse54
14,86436 (Topock),86436,2370,2370,270866250.0,72492.56980588361,1756054349282,Synapse54,1756054349282,Synapse54
15,86440 (Mohave Valley),86440,8530,8530,366532500.0,87291.4552011968,1756054349282,Synapse54,1756054349282,Synapse54
16,89047 (Silverpeak),89047,317,317,5060995000.0,547722.7565949309,1756054349282,Synapse54,1756054349282,Synapse54
17,89124 (Las Vegas),89124,902,902,2943311250.0,385730.5180699903,1756054349282,Synapse54,1756054349282,Synapse54
18,89402 (Crystal Bay),89402,326,326,3416250.0,9341.781768582085,1756054349282,Synapse54,1756054349282,Synapse54
19,89405 (Empire),89405,60,60,5973371250.0,397551.10654173396,1756054349282,Synapse54,1756054349282,Synapse54
20,89410 (Gardnerville),89410,11229,11229,911897500.0,254260.11796105534,1756054349282,Synapse54,1756054349282,Synapse54
21,89444 (Wellington),89444,2904,2904,1022086250.0,275733.5588463532,1756054349282,Synapse54,1756054349282,Synapse54
22,90001 (Los Angeles),90001,53365,53365,13393750.0,16340.659532717696,1756054349282,Synapse54,1756054349282,Synapse54
23,90002 (Los Angeles),90002,51299,51299,11766250.0,16173.923343432905,1756054349282,Synapse54,1756054349282,Synapse54
24,90003 (Los Angeles),90003,67644,67644,13241250.0,18664.620780825342,1756054349282,Synapse54,1756054349282,Synapse54
25,90004 (Los Angeles),90004,58549,58549,11791250.0,16167.234121431859,1756054349282,Synapse54,1756054349282,Synapse54
26,90005 (Los Angeles),90005,50513,50513,5742500.0,15666.089913073765,1756054349282,Synapse54,1756054349282,Synapse54
27,90006 (Los Angeles),90006,57593,57593,7090000.0,11069.609074486658,1756054349282,Synapse54,1756054349282,Synapse54
