OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
1,Whole Foods Market,E Washington St,Petaluma,California,CA,94952,3219,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,150,38409000,Data Axle,931e2a1eada2e7c9c0c22993cff9fe84,"CONAME, Petaluma, California",38.24124999992437,-122.63460300004259,1756054369888,Synapse54,1756054369888,Synapse54
2,Whole Foods Market,S Bascom Ave,Campbell,California,CA,95008,0606,44511003,"44511003, 45619103, 45619106, 72232001, 45619105, 45931001",541105,"541105, 549901, 549904, 581212, 549935, 599201","Grocers-Retail, Health & Diet Foods-Retail, Vitamin & Food Supplements, Caterers, Organic Foods & Services, Florists-Retail",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,210,55438000,Data Axle,48797feac942ccc382b6a4d8393e9dfd,"CONAME, Campbell, California",37.29198999983054,-121.93085400027863,1756054369888,Synapse54,1756054369888,Synapse54
3,Whole Foods Market,E Pacific Coast Hwy,Long Beach,California,CA,90803,4265,44511003,"44511003, 45619106, 72251117, 44524006, 45619105, 45931001, 45619103",541105,"541105, 549904, 581208, 542107, 549935, 599201, 549901","Grocers-Retail, Vitamin & Food Supplements, Restaurants, Meat-Retail, Organic Foods & Services, Florists-Retail, Health & Diet Foods-Retail",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,100,26387000,Data Axle,8be3d87bc2abe5de6c751a91fee08f4c,"CONAME, Long Beach, California",33.75601500005129,-118.11005899960924,1756054369888,Synapse54,1756054369888,Synapse54
4,Whole Foods Market,24th St,San Francisco,California,CA,94114,3704,44511003,"44511003, 45619106, 45619105, 45931001",541105,"541105, 549904, 549935, 599201","Grocers-Retail, Vitamin & Food Supplements, Organic Foods & Services, Florists-Retail",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,75,20042000,Data Axle,dae8a1b7040254a2df83eecd07c1d3f5,"CONAME, San Francisco, California",37.752017999891024,-122.43084099989004,1756054369888,Synapse54,1756054369888,Synapse54
5,Whole Foods Market,Gayley Ave,Los Angeles,California,CA,90024,3402,44511003,"44511003, 45619105, 72251117, 45931001, 45619106",541105,"541105, 549935, 581208, 599201, 549904","Grocers-Retail, Organic Foods & Services, Restaurants, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,145,38261000,Data Axle,22ef6354ced3e889c02ec41393658ad9,"CONAME, Los Angeles, California",34.06121199975058,-118.44693499978465,1756054369888,Synapse54,1756054369888,Synapse54
6,Whole Foods Market,Park Pl,San Mateo,California,CA,94403,1572,44511003,"44511003, 45619103, 45619105, 45931001, 45619106",541105,"541105, 549901, 549935, 599201, 549904","Grocers-Retail, Health & Diet Foods-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,17,11495000,Data Axle,cba1616399dbe96a8ae94e97e824ade2,"CONAME, San Mateo, California",37.54471000000952,-122.29210700021088,1756054369888,Synapse54,1756054369888,Synapse54
7,Whole Foods Market,N Pacific Coast Hwy,Redondo Beach,California,CA,90277,2840,44511003,"44511003, 45619105, 45931001, 45619106, 45712008",541105,"541105, 549935, 599201, 549904, 554112","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,100,26387000,Data Axle,592830dd642c14cbd87a4ccd5fc125e5,"CONAME, Redondo Beach, California",33.84738599982965,-118.38886699970725,1756054369888,Synapse54,1756054369888,Synapse54
8,Whole Foods Market,Wilshire Blvd,Santa Monica,California,CA,90403,5705,44511003,"44511003, 72251117, 72251115, 45619105, 45931001, 45619106",541105,"541105, 581208, 581222, 549935, 599201, 549904","Grocers-Retail, Restaurants, Pizza, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,228,60163000,Data Axle,de27d3403fc14798d695d647b7e74994,"CONAME, Santa Monica, California",34.033251999958885,-118.48137400029282,1756054369888,Synapse54,1756054369888,Synapse54
9,Whole Foods Market,Valencia Blvd,Santa Clarita,California,CA,91355,5392,44511003,"44511003, 45619103, 45619105, 45931001, 45619106, 72251117",541105,"541105, 549901, 549935, 599201, 549904, 581208","Grocers-Retail, Health & Diet Foods-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Restaurants",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,150,39581000,Data Axle,5f296d808621e587643322eb6ef916a2,"CONAME, Santa Clarita, California",34.41253299997213,-118.55601500018233,1756054369888,Synapse54,1756054369888,Synapse54
10,Whole Foods Market,Riverside Dr,Sherman Oaks,California,CA,91423,2287,44511003,"44511003, 45712006, 45619105, 45931001, 45619106",541105,"541105, 554110, 549935, 599201, 549904","Grocers-Retail, Alternative Fuels, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,18,4750000,Data Axle,7ec58822e7af37c5eef9bfdb4b217a0f,"CONAME, Sherman Oaks, California",34.15793299999191,-118.41414099961465,1756054369888,Synapse54,1756054369888,Synapse54
11,Whole Foods Market,N Glendale Ave,Glendale,California,CA,91206,3759,44511003,"44511003, 45619103, 72251117, 45619105, 45931001, 45619106, 45712008",541105,"541105, 549901, 581208, 549935, 599201, 549904, 554112","Grocers-Retail, Health & Diet Foods-Retail, Restaurants, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,240,63329000,Data Axle,a6927482f7aa6aae29698f6733c251ee,"CONAME, Glendale, California",34.15094399985489,-118.24599200013026,1756054369888,Synapse54,1756054369888,Synapse54
12,Whole Foods Market,N Moorpark Rd,Thousand Oaks,California,CA,91360,3705,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,200,58452000,Data Axle,6bb64e09c6245c46f70923a0d010ee5d,"CONAME, Thousand Oaks, California",34.18779400015169,-118.87335500010742,1756054369888,Synapse54,1756054369888,Synapse54
13,Whole Foods Market,De Long Ave,Novato,California,CA,94945,3214,44511003,"44511003, 45712006, 45619105, 45931001, 45619106",541105,"541105, 554110, 549935, 599201, 549904","Grocers-Retail, Alternative Fuels, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,160,45408000,Data Axle,fb837f9d10691287590ad8ef30070693,"CONAME, Novato, California",38.10601100012654,-122.56593099978886,1756054369888,Synapse54,1756054369888,Synapse54
14,Whole Foods Market,E Blithedale Ave,Mill Valley,California,CA,94941,1526,44511003,"44511003, 45511003, 45619105, 45931001, 45619106, 81299029",541105,"541105, 531104, 549935, 599201, 549904, 729941","Grocers-Retail, Retail Shops, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Shopping Service-Personal",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,36,10785000,Data Axle,f55c85f6e6600bcabb2dfb2df7914f1a,"CONAME, Mill Valley, California",37.902588000059765,-122.52606400014328,1756054369888,Synapse54,1756054369888,Synapse54
15,Whole Foods Market,Edinger Ave,Huntington Beach,California,CA,92647,7637,44511003,"44511003, 45619103, 45619105, 45931001, 45619106",541105,"541105, 549901, 549935, 599201, 549904","Grocers-Retail, Health & Diet Foods-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,15,4149000,Data Axle,bef84527a750d0ab9e453cc934e7b411,"CONAME, Huntington Beach, California",33.73153900010475,-117.9910400002805,1756054369888,Synapse54,1756054369888,Synapse54
16,Whole Foods Market,Stanyan St,San Francisco,California,CA,94117,1863,44511003,"44511003, 42442005, 44529803, 72251117, 45619105, 45931001, 45619106",541105,"541105, 514101, 549917, 581208, 549935, 599201, 549904","Grocers-Retail, Food Products (Whls), Chinese Food Products, Restaurants, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,148,39550000,Data Axle,437c456997ac89081a8e7c5ec22453cc,"CONAME, San Francisco, California",37.76948600031812,-122.45328199995389,1756054369888,Synapse54,1756054369888,Synapse54
17,Whole Foods Market,Mt Diablo Blvd,Lafayette,California,CA,94549,3857,44511003,"44511003, 45619103, 45712006, 45619105, 45931001, 45619106, 45712008",541105,"541105, 549901, 554110, 549935, 599201, 549904, 554112","Grocers-Retail, Health & Diet Foods-Retail, Alternative Fuels, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,18,9953000,Data Axle,491ea74f34eb443fa1d8a166fe863fcb,"CONAME, Lafayette, California",37.893423000022096,-122.1171110003084,1756054369888,Synapse54,1756054369888,Synapse54
18,Whole Foods Market,Coddingtown Ctr,Santa Rosa,California,CA,95401,3507,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,34,9987000,Data Axle,2f6cf0aa3e7b02a22043256f7983d44f,"CONAME, Santa Rosa, California",38.457899000022536,-122.73186999994385,1756054369888,Synapse54,1756054369888,Synapse54
19,Whole Foods Market,National Blvd,Los Angeles,California,CA,90064,3802,44511003,"44511003, 81299029, 45619105, 45931001, 45619106, 45712008",541105,"541105, 729941, 549935, 599201, 549904, 554112","Grocers-Retail, Shopping Service-Personal, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,43,11611000,Data Axle,8ac763482eb9c215f1c6026e3c8a2551,"CONAME, Los Angeles, California",34.02258900012191,-118.43801600012947,1756054369888,Synapse54,1756054369888,Synapse54
20,Whole Foods Market,W 3rd St,Los Angeles,California,CA,90036,3155,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,15,10028000,Data Axle,bf2ae5d6b04cdbf92452c8dcb71a2fa3,"CONAME, Los Angeles, California",34.070589999739475,-118.3602589996409,1756054369888,Synapse54,1756054369888,Synapse54
21,Whole Foods Market,Ocean Ave,San Francisco,California,CA,94112,1843,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,200,53446000,Data Axle,4db94906784a07926d1959e84d432d09,"CONAME, San Francisco, California",37.723883000208055,-122.45462699981809,1756054369888,Synapse54,1756054369888,Synapse54
22,Whole Foods Market,Aliso Creek Rd,Laguna Niguel,California,CA,92677,3900,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,38,10233000,Data Axle,5ee34e4d10263f72d7a041f6c903ab1f,"CONAME, Laguna Niguel, California",33.55445199963725,-117.71279299987408,1756054369888,Synapse54,1756054369888,Synapse54
23,Whole Foods Market,Newport Center Dr,Newport Beach,California,CA,92660,6936,44511003,"44511003, 45619105, 45931001, 45619106",541105,"541105, 549935, 599201, 549904","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,13,9403000,Data Axle,466e34a08ae59f50dede57631f50124a,"CONAME, Newport Beach, California",33.6166069996567,-117.87308200023551,1756054369888,Synapse54,1756054369888,Synapse54
24,Whole Foods Market,Town Center Dr,Oxnard,California,CA,93036,1120,44511003,"44511003, 42442005, 45619105, 45931001, 45619106",541105,"541105, 514101, 549935, 599201, 549904","Grocers-Retail, Food Products (Whls), Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,148,43254000,Data Axle,f019850be9de5802542cd9b75e0359e6,"CONAME, Oxnard, California",34.23993500032432,-119.17890300035083,1756054369888,Synapse54,1756054369888,Synapse54
25,Whole Foods Market,Palladio Pkwy,Folsom,California,CA,95630,8774,44511003,"44511003, 45619105, 45931001, 45619106, 45712008",541105,"541105, 549935, 599201, 549904, 554112","Grocers-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,300,84631000,Data Axle,a16e5da6d9901f52dd09008cbcad7516,"CONAME, Folsom, California",38.64886999997693,-121.11802900031492,1756054369888,Synapse54,1756054369888,Synapse54
26,Whole Foods Market,Via De La Valle,Del Mar,California,CA,92014,1992,44511003,"44511003, 45619103, 45619105, 45931001, 45619106, 72251518, 72241001",541105,"541105, 549901, 549935, 599201, 549904, 581248, 581301","Grocers-Retail, Health & Diet Foods-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Juice Bars, Bars",,,"Whole Foods Market, Inc",High,Branch,20000 - 39999,20000.0,39999.0,148,40133000,Data Axle,7e34d4a3559be6b038004da1e9da6ad6,"CONAME, Del Mar, California",32.98053799977524,-117.25084699982008,1756054369888,Synapse54,1756054369888,Synapse54
27,Whole Foods Market,Mowry Ave,Fremont,California,CA,94538,1505,44511003,"44511003, 45712006, 45619105, 45931001, 45619106, 45712008",541105,"541105, 554110, 549935, 599201, 549904, 554112","Grocers-Retail, Alternative Fuels, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,150,41341000,Data Axle,824975df1e522413b046a1fa656674a8,"CONAME, Fremont, California",37.554995999955786,-121.98522999999676,1756054369888,Synapse54,1756054369888,Synapse54
28,Whole Foods Market,Market St,San Francisco,California,CA,94114,1389,44511003,"44511003, 45619103, 45619105, 45931001, 45619106",541105,"541105, 549901, 549935, 599201, 549904","Grocers-Retail, Health & Diet Foods-Retail, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,150,40084000,Data Axle,5eccbf501c0ba07db32dd1bb1371d2ac,"CONAME, San Francisco, California",37.768283999697665,-122.42715299972875,1756054369888,Synapse54,1756054369888,Synapse54
29,Whole Foods Market,Gilman St,Berkeley,California,CA,94710,1515,44511003,"44511003, 45712006, 45619105, 45931001, 45619106, 45712008",541105,"541105, 554110, 549935, 599201, 549904, 554112","Grocers-Retail, Alternative Fuels, Organic Foods & Services, Florists-Retail, Vitamin & Food Supplements, Electric Charging Station",,,"Whole Foods Market, Inc",Very High,Branch,20000 - 39999,20000.0,39999.0,39,11851000,Data Axle,ede59df92ef3d5991d3ab02ce25d6073,"CONAME, Berkeley, California",37.880766999909376,-122.2977229996692,1756054369888,Synapse54,1756054369888,Synapse54
