OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
1,Costco Wholesale,Expo Pkwy,Sacramento,California,CA,95815,4228,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 45619903, 44529821, 44912951",531110,"531110, 531102, 531104, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 599979, 549999, 571999","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Hearing Aids, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,300,59548000.0,Data Axle,89eff58084c01cae6b5cc20701c341d1,"CONAME, Sacramento, California",38.5971519998113,-121.45207000009864,1756054383988,Synapse54,1756054383988,Synapse54
2,Costco Wholesale,W Burbank Blvd,Burbank,California,CA,91506,1421,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 62133002, 44529821, 44912951",531110,"531110, 531102, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 804939, 549999, 571999","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Pharmacists, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,Michelin,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,200,40149000.0,Data Axle,112b626785ef2b600bc05703fcb3e13c,"CONAME, Burbank, California",34.18603099968211,-118.32435799999094,1756054383988,Synapse54,1756054383988,Synapse54
3,Costco Wholesale,4th St,Rancho Cucamonga,California,CA,91730,6129,45521101,"45521101, 42392023, 42441005, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 45511001, 44529821, 45511003, 44912951",531110,"531110, 509223, 514105, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 531102, 549999, 531104, 571999","Wholesale Clubs, Wholesalers, Grocers-Wholesale, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Department Stores, Miscellaneous Food Stores, Retail Shops, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,4,748000.0,Data Axle,f4bcb4c0f0c2cd5aa71f3d077e9cfc62,"CONAME, Rancho Cucamonga, California",34.0789659999316,-117.54815400027573,1756054383988,Synapse54,1756054383988,Synapse54
4,Costco Wholesale,Peyton Dr,Chino Hills,California,CA,91709,6002,45521101,"45521101, 42441005, 45521908, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 45511001, 44529821, 45511003, 44912951",531110,"531110, 514105, 539901, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 531102, 549999, 531104, 571999","Wholesale Clubs, Grocers-Wholesale, General Merchandise-Retail, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Department Stores, Miscellaneous Food Stores, Retail Shops, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,300,56092000.0,Data Axle,cbe54f852197783dae89a227d387d045,"CONAME, Chino Hills, California",34.014632000010614,-117.74133900001617,1756054383988,Synapse54,1756054383988,Synapse54
5,Costco Wholesale,W Avenue L,Lancaster,California,CA,93534,7077,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951",531110,"531110, 531102, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,Michelin,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,257,51591000.0,Data Axle,ac16c5ed8d5132cf66979158bd7dfeb2,"CONAME, Lancaster, California",34.66129000014066,-118.15142900020106,1756054383988,Synapse54,1756054383988,Synapse54
6,Costco Wholesale,Castleton St,City of Industry,California,CA,91748,1701,45521101,"45521101, 42392023, 42499048, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 45941007, 45911055, 45511001, 44529821, 45511003, 44912951, 44921094",531110,"531110, 509223, 519908, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 594301, 594113, 531102, 549999, 531104, 571999, 573501","Wholesale Clubs, Wholesalers, General Merchandise-Wholesale, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Office Supplies, Sporting Goods-Retail, Department Stores, Miscellaneous Food Stores, Retail Shops, Miscellaneous Homefurnishings Stores, Records Tapes & Compact Discs-Retail",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,250,50186000.0,Data Axle,ac341cbf189cf661a1d4ae09efc8906c,"CONAME, City of Industry, California",33.99408000022369,-117.92201200037462,1756054383988,Synapse54,1756054383988,Synapse54
7,Costco Wholesale,Rosedale Hwy,Bakersfield,California,CA,93308,6235,45521101,"45521101, 44134001, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 45611009, 44529821, 44912951, 45511001, 45511003",531110,"531110, 553123, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 591205, 549999, 571999, 531102, 531104","Wholesale Clubs, Tire-Dealers-Retail, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Pharmacies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Department Stores, Retail Shops",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,135,24549000.0,Data Axle,40ef3035a9194b9cefdafe5f382c4159,"CONAME, Bakersfield, California",35.38438499995309,-119.0491970001068,1756054383988,Synapse54,1756054383988,Synapse54
8,Costco Wholesale,Cavitt Dr,Folsom,California,CA,95630,6235,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951, 45613003",531110,"531110, 531102, 531104, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999, 599502","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Optical Goods-Retail",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,270,53593000.0,Data Axle,7fcc6071134462466f446f4350e98536,"CONAME, Folsom, California",38.64538499967071,-121.10976699971248,1756054383988,Synapse54,1756054383988,Synapse54
9,Costco Wholesale,Central Ave,Montclair,California,CA,91763,2421,45521101,"45521101, 42392023, 45511001, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951",531110,"531110, 509223, 531102, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999","Wholesale Clubs, Wholesalers, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,Michelin,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,8,1496000.0,Data Axle,b029dfc6aeb252582cecd27a094b6a0d,"CONAME, Montclair, California",34.08244299987759,-117.69093199976835,1756054383988,Synapse54,1756054383988,Synapse54
10,Costco Wholesale,Town Center Pkwy,Santee,California,CA,92071,5899,45521101,"45521101, 42392023, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 45619903, 44529821, 44912951, 45511001",531110,"531110, 509223, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 599979, 549999, 571999, 531102","Wholesale Clubs, Wholesalers, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Hearing Aids, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Department Stores",,Michelin,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,201,41805000.0,Data Axle,c5ebe478b77e9ccf7b8c2efc8c9998a7,"CONAME, Santee, California",32.84071199964107,-116.9870220003459,1756054383988,Synapse54,1756054383988,Synapse54
