OBJECTID,DESCRIPTION,ID,MP14029A_B,MP14029A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,85328 (Cibola),85328,19,12.75,12.75,527471250.0,162187.00041854146,1756053771680,Synapse54,1756053771680,Synapse54
2,92322 (Cedarpines Park),92322,150,15.02,15.02,23482500.0,36314.45693055894,1756053771680,Synapse54,1756053771680,Synapse54
3,85334 (Ehrenberg),85334,73,12.9,12.9,14281250.0,17788.853656653973,1756053771680,Synapse54,1756053771680,Synapse54
4,92325 (Crestline),92325,1060,13.31,13.31,40745000.0,36360.74748998447,1756053771680,Synapse54,1756053771680,Synapse54
5,85344 (Parker),85344,1032,14.1,14.1,2314440000.0,344326.42202693666,1756053771680,Synapse54,1756053771680,Synapse54
6,92327 (Daggett),92327,38,11.52,11.52,117928750.0,70424.41944943395,1756053771680,Synapse54,1756053771680,Synapse54
7,92328 (Death Valley),92328,79,14.03,14.03,11250172500.0,592837.0236694143,1756053771680,Synapse54,1756053771680,Synapse54
8,85356 (Wellton),85356,471,14.07,14.07,13072497500.0,801783.4171452732,1756053771680,Synapse54,1756053771680,Synapse54
9,92332 (Essex),92332,9,16.07,16.07,8479478750.0,491222.04307418433,1756053771680,Synapse54,1756053771680,Synapse54
10,85364 (Yuma),85364,8668,15.25,15.25,110230000.0,45460.76683107735,1756053771680,Synapse54,1756053771680,Synapse54
11,92333 (Fawnskin),92333,69,16.01,16.01,9801250.0,23411.774905525286,1756053771680,Synapse54,1756053771680,Synapse54
12,85365 (Yuma),85365,6245,14.59,14.59,1266628750.0,392610.306711916,1756053771680,Synapse54,1756053771680,Synapse54
13,92335 (Fontana),92335,10151,15.05,15.05,65380000.0,40779.92289285877,1756053771680,Synapse54,1756053771680,Synapse54
14,92336 (Fontana),92336,12427,14.65,14.65,78431250.0,47083.67147810428,1756053771680,Synapse54,1756053771680,Synapse54
15,86403 (Lake Havasu City),86403,2266,14.44,14.44,59838750.0,57038.76479084641,1756053771680,Synapse54,1756053771680,Synapse54
16,92337 (Fontana),92337,4245,15.35,15.35,50931250.0,35486.09943380774,1756053771680,Synapse54,1756053771680,Synapse54
17,92338 (Ludlow),92338,4,10.53,10.53,2457380000.0,333491.21301942435,1756053771680,Synapse54,1756053771680,Synapse54
18,92339 (Forest Falls),92339,133,13.29,13.29,346780000.0,130998.42700267813,1756053771680,Synapse54,1756053771680,Synapse54
19,92341 (Green Valley Lake),92341,60,15.83,15.83,4170000.0,10148.730814482513,1756053771680,Synapse54,1756053771680,Synapse54
20,92342 (Helendale),92342,692,12.96,12.96,490536250.0,128551.89282404495,1756053771680,Synapse54,1756053771680,Synapse54
21,92344 (Hesperia),92344,2709,14.85,14.85,145977500.0,59094.021951112074,1756053771680,Synapse54,1756053771680,Synapse54
22,92345 (Hesperia),92345,9784,15.27,15.27,299282877.56640625,94717.5221552905,1756053771680,Synapse54,1756053771680,Synapse54
23,92346 (Highland),92346,6296,13.98,13.98,75450000.0,50516.84006554063,1756053771680,Synapse54,1756053771680,Synapse54
24,92347 (Hinkley),92347,101,15.86,15.86,1168466250.0,223429.79570630056,1756053771680,Synapse54,1756053771680,Synapse54
25,92350 (Loma Linda),92350,2,15.38,15.38,325000.0,2662.272482983109,1756053771680,Synapse54,1756053771680,Synapse54
26,92352 (Lake Arrowhead),92352,818,13.6,13.6,34961250.0,39198.68135370152,1756053771680,Synapse54,1756053771680,Synapse54
27,92354 (Loma Linda),92354,2635,14.22,14.22,19262500.0,32113.439694581248,1756053771680,Synapse54,1756053771680,Synapse54
28,92356 (Lucerne Valley),92356,565,12.19,12.19,1747987500.0,262557.9121112412,1756053771680,Synapse54,1756053771680,Synapse54
29,92358 (Lytle Creek),92358,76,12.56,12.56,95396250.0,59237.84705163992,1756053771680,Synapse54,1756053771680,Synapse54
30,92359 (Mentone),92359,978,13.96,13.96,199802500.0,146993.5666282572,1756053771680,Synapse54,1756053771680,Synapse54
31,92363 (Needles),92363,537,12.28,12.28,4995917500.0,522891.6342496342,1756053771680,Synapse54,1756053771680,Synapse54
32,92364 (Nipton),92364,10,16.95,16.95,6662700000.0,495982.3479221093,1756053771680,Synapse54,1756053771680,Synapse54
33,92365 (Newberry Springs),92365,218,12.35,12.35,2015372500.0,283603.0952464746,1756053771680,Synapse54,1756053771680,Synapse54
34,92368 (Oro Grande),92368,88,12.57,12.57,263910000.0,69753.73208396425,1756053771680,Synapse54,1756053771680,Synapse54
35,92371 (Phelan),92371,1955,14.6,14.6,495092500.0,136736.61966382695,1756053771680,Synapse54,1756053771680,Synapse54
36,92372 (Pinon Hills),92372,621,15.03,15.03,74847500.0,51049.10986571373,1756053771680,Synapse54,1756053771680,Synapse54
37,92373 (Redlands),92373,3782,13.42,13.42,163128750.0,89297.98121789581,1756053771680,Synapse54,1756053771680,Synapse54
38,92374 (Redlands),92374,5079,14.0,14.0,76466250.0,52153.39311998224,1756053771680,Synapse54,1756053771680,Synapse54
39,92376 (Rialto),92376,9768,15.34,15.34,49923750.0,39680.21948472379,1756053771680,Synapse54,1756053771680,Synapse54
40,92377 (Rialto),92377,2606,15.13,15.13,36657500.0,29736.2696185539,1756053771680,Synapse54,1756053771680,Synapse54
41,92378 (Rimforest),92378,32,15.17,15.17,1331250.0,5709.97183051108,1756053771680,Synapse54,1756053771680,Synapse54
42,92382 (Running Springs),92382,614,13.79,13.79,72786250.0,41738.801968663414,1756053771680,Synapse54,1756053771680,Synapse54
43,92384 (Shoshone),92384,9,14.75,14.75,6149136250.0,351475.9713463227,1756053771680,Synapse54,1756053771680,Synapse54
44,92385 (Skyforest),92385,33,13.04,13.04,1886250.0,7682.238548172248,1756053771680,Synapse54,1756053771680,Synapse54
45,92386 (Sugarloaf),92386,316,15.89,15.89,5848750.0,12327.857358947613,1756053771680,Synapse54,1756053771680,Synapse54
46,92389 (Tecopa),92389,33,14.1,14.1,1444243750.0,199918.4382367414,1756053771680,Synapse54,1756053771680,Synapse54
47,92391 (Twin Peaks),92391,275,14.34,14.34,7715000.0,18302.818690646458,1756053771680,Synapse54,1756053771680,Synapse54
48,92392 (Victorville),92392,7397,15.45,15.45,137711250.0,60765.98824847531,1756053771680,Synapse54,1756053771680,Synapse54
49,92394 (Victorville),92394,4354,13.53,13.53,121477500.0,88305.61698855038,1756053771680,Synapse54,1756053771680,Synapse54
50,92395 (Victorville),92395,5209,14.87,14.87,68708145.1640625,47846.85223202196,1756053771680,Synapse54,1756053771680,Synapse54
51,92397 (Wrightwood),92397,562,13.41,13.41,140215000.0,84425.74718512002,1756053771680,Synapse54,1756053771680,Synapse54
52,92398 (Yermo),92398,126,13.48,13.48,101285000.0,60647.751832491886,1756053771680,Synapse54,1756053771680,Synapse54
53,92399 (Yucaipa),92399,6138,14.03,14.03,172393750.0,78202.61353775508,1756053771680,Synapse54,1756053771680,Synapse54
54,92401 (San Bernardino),92401,190,15.87,15.87,2431250.0,11026.825288417274,1756053771680,Synapse54,1756053771680,Synapse54
55,92404 (San Bernardino),92404,6974,14.78,14.78,83843750.0,59702.91140620923,1756053771680,Synapse54,1756053771680,Synapse54
56,92405 (San Bernardino),92405,3328,14.95,14.95,19550000.0,22817.92291360122,1756053771680,Synapse54,1756053771680,Synapse54
57,92407 (San Bernardino),92407,7656,14.99,14.99,655255227.2773438,262930.7761975885,1756053771680,Synapse54,1756053771680,Synapse54
58,92408 (San Bernardino),92408,1721,15.41,15.41,44236250.0,37255.81035689737,1756053771680,Synapse54,1756053771680,Synapse54
59,92410 (San Bernardino),92410,5671,15.59,15.59,31268750.0,49893.12531732991,1756053771680,Synapse54,1756053771680,Synapse54
60,92411 (San Bernardino),92411,3105,16.25,16.25,17991250.0,18900.85406904243,1756053771680,Synapse54,1756053771680,Synapse54
61,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756053771680,Synapse54,1756053771680,Synapse54
62,92501 (Riverside),92501,2537,14.56,14.56,22537500.0,29360.344553073046,1756053771680,Synapse54,1756053771680,Synapse54
63,92503 (Riverside),92503,10483,14.59,14.59,107661250.0,83524.3000869383,1756053771680,Synapse54,1756053771680,Synapse54
64,92504 (Riverside),92504,6205,14.35,14.35,85888750.0,78010.88809143189,1756053771680,Synapse54,1756053771680,Synapse54
65,92505 (Riverside),92505,5688,14.82,14.82,47511250.0,39417.83554710996,1756053771680,Synapse54,1756053771680,Synapse54
66,92506 (Riverside),92506,4971,13.57,13.57,65882500.0,59310.71744028767,1756053771680,Synapse54,1756053771680,Synapse54
67,92507 (Riverside),92507,7349,14.08,14.08,67203750.0,75253.54192382339,1756053771680,Synapse54,1756053771680,Synapse54
68,92508 (Riverside),92508,3800,13.91,13.91,48228750.0,42104.659565642694,1756053771680,Synapse54,1756053771680,Synapse54
69,92509 (Jurupa Valley),92509,9347,15.47,15.47,116866250.0,47428.70899972364,1756053771680,Synapse54,1756053771680,Synapse54
70,92518 (March Air Reserve Base),92518,212,13.97,13.97,38241250.0,32992.245231222754,1756053771680,Synapse54,1756053771680,Synapse54
71,92521 (Riverside),92521,576,13.89,13.89,4610000.0,12148.698391121136,1756053771680,Synapse54,1756053771680,Synapse54
72,92530 (Lake Elsinore),92530,6699,14.75,14.75,438397500.0,112963.1858719261,1756053771680,Synapse54,1756053771680,Synapse54
73,92532 (Lake Elsinore),92532,3034,14.75,14.75,63673750.0,65388.410720160115,1756053771680,Synapse54,1756053771680,Synapse54
74,92536 (Aguanga),92536,442,14.85,14.85,354418750.0,120213.46731845246,1756053771680,Synapse54,1756053771680,Synapse54
75,92539 (Anza),92539,588,14.65,14.65,579091250.0,144201.50706698783,1756053771680,Synapse54,1756053771680,Synapse54
76,92543 (Hemet),92543,4336,14.04,14.04,68802500.0,61367.79442167451,1756053771680,Synapse54,1756053771680,Synapse54
77,92544 (Hemet),92544,5374,14.59,14.59,414903750.0,151338.12956250404,1756053771680,Synapse54,1756053771680,Synapse54
78,92545 (Hemet),92545,5406,14.58,14.58,104872500.0,86730.68453675932,1756053771680,Synapse54,1756053771680,Synapse54
79,92548 (Homeland),92548,1078,15.13,15.13,38288750.0,33509.64277118994,1756053771680,Synapse54,1756053771680,Synapse54
80,92549 (Idyllwild),92549,543,15.44,15.44,358915000.0,107864.63976792223,1756053771680,Synapse54,1756053771680,Synapse54
81,92551 (Moreno Valley),92551,3957,15.49,15.49,22831250.0,19728.964458924765,1756053771680,Synapse54,1756053771680,Synapse54
82,92553 (Moreno Valley),92553,8470,15.02,15.02,38985000.0,28591.739186878363,1756053771680,Synapse54,1756053771680,Synapse54
83,92555 (Moreno Valley),92555,5510,15.18,15.18,275277500.0,91449.45508308428,1756053771680,Synapse54,1756053771680,Synapse54
84,92557 (Moreno Valley),92557,6202,14.88,14.88,79985000.0,53460.86448257353,1756053771680,Synapse54,1756053771680,Synapse54
85,92561 (Mountain Center),92561,241,14.77,14.77,1620912500.0,315017.98964642035,1756053771680,Synapse54,1756053771680,Synapse54
86,92562 (Murrieta),92562,6950,13.96,13.96,221006250.0,95812.13808091207,1756053771680,Synapse54,1756053771680,Synapse54
87,92563 (Murrieta),92563,8038,14.07,14.07,78192500.0,53899.198339420196,1756053771680,Synapse54,1756053771680,Synapse54
88,92567 (Nuevo),92567,1276,15.33,15.33,115155000.0,52551.257802414395,1756053771680,Synapse54,1756053771680,Synapse54
89,92570 (Perris),92570,6900,15.28,15.28,391848750.0,141636.61094909988,1756053771680,Synapse54,1756053771680,Synapse54
90,92571 (Perris),92571,6703,15.35,15.35,129411250.0,59493.83243138058,1756053771680,Synapse54,1756053771680,Synapse54
91,92582 (San Jacinto),92582,2678,15.55,15.55,77062500.0,47625.591915771925,1756053771680,Synapse54,1756053771680,Synapse54
92,92583 (San Jacinto),92583,4056,15.04,15.04,117017500.0,68854.68187138022,1756053771680,Synapse54,1756053771680,Synapse54
93,92584 (Menifee),92584,7257,14.48,14.48,125473750.0,88632.97807464864,1756053771680,Synapse54,1756053771680,Synapse54
94,92585 (Menifee),92585,3285,14.29,14.29,65328750.0,63969.72667996268,1756053771680,Synapse54,1756053771680,Synapse54
95,92586 (Menifee),92586,2769,14.33,14.33,22697500.0,25680.59999652119,1756053771680,Synapse54,1756053771680,Synapse54
96,92587 (Menifee),92587,1872,13.8,13.8,33000000.0,28855.688766937034,1756053771680,Synapse54,1756053771680,Synapse54
97,92590 (Temecula),92590,526,13.74,13.74,171402500.0,74224.59376095551,1756053771680,Synapse54,1756053771680,Synapse54
98,92591 (Temecula),92591,4745,13.72,13.72,57467500.0,46864.2059342935,1756053771680,Synapse54,1756053771680,Synapse54
99,92592 (Temecula),92592,8534,13.75,13.75,449697500.0,150010.17362394696,1756053771680,Synapse54,1756053771680,Synapse54
100,92595 (Wildomar),92595,3980,14.4,14.4,77962500.0,49546.47682350081,1756053771680,Synapse54,1756053771680,Synapse54
101,92596 (Winchester),92596,4563,14.54,14.54,236541250.0,105694.89597132463,1756053771680,Synapse54,1756053771680,Synapse54
102,92602 (Irvine),92602,3449,13.56,13.56,54335000.0,48615.20874763779,1756053771680,Synapse54,1756053771680,Synapse54
103,92603 (Irvine),92603,2117,13.08,13.08,49596250.0,39851.28103911499,1756053771680,Synapse54,1756053771680,Synapse54
104,92604 (Irvine),92604,2995,13.25,13.25,12971250.0,14796.767588249384,1756053771680,Synapse54,1756053771680,Synapse54
105,92606 (Irvine),92606,2509,13.47,13.47,11687516.33984375,24285.50058514748,1756053771680,Synapse54,1756053771680,Synapse54
106,92610 (Foothill Ranch),92610,1161,12.87,12.87,41970000.0,42026.008696583456,1756053771680,Synapse54,1756053771680,Synapse54
107,92612 (Irvine),92612,4026,13.47,13.47,24991250.0,30023.681639087186,1756053771680,Synapse54,1756053771680,Synapse54
108,92614 (Irvine),92614,3421,13.21,13.21,16787500.0,22384.83540840505,1756053771680,Synapse54,1756053771680,Synapse54
109,92617 (Irvine),92617,3146,13.53,13.53,8672500.0,15412.013244571113,1756053771680,Synapse54,1756053771680,Synapse54
110,92618 (Irvine),92618,6828,13.46,13.46,94576250.0,64024.6551904949,1756053771680,Synapse54,1756053771680,Synapse54
111,92620 (Irvine),92620,6572,13.58,13.58,23306250.0,21025.73996103775,1756053771680,Synapse54,1756053771680,Synapse54
112,92624 (Capistrano Beach),92624,806,13.23,13.23,5602500.0,19224.425787531967,1756053771680,Synapse54,1756053771680,Synapse54
113,92625 (Corona del Mar),92625,1255,12.77,12.77,9253750.0,22768.574163236848,1756053771680,Synapse54,1756053771680,Synapse54
114,92626 (Costa Mesa),92626,5416,13.18,13.18,35749444.4375,30953.607275611746,1756053771680,Synapse54,1756053771680,Synapse54
115,92627 (Costa Mesa),92627,6504,13.06,13.06,24660526.3203125,32009.424849547257,1756053771680,Synapse54,1756053771680,Synapse54
116,92629 (Dana Point),92629,2963,13.26,13.26,19367500.0,26404.176955851315,1756053771680,Synapse54,1756053771680,Synapse54
117,92630 (Lake Forest),92630,7338,13.58,13.58,39691250.0,33234.410302807584,1756053771680,Synapse54,1756053771680,Synapse54
118,92637 (Laguna Woods),92637,2490,13.77,13.77,12412045.45703125,24637.976550366835,1756053771680,Synapse54,1756053771680,Synapse54
119,92646 (Huntington Beach),92646,6167,13.12,13.12,31957500.0,27762.065402696444,1756053771680,Synapse54,1756053771680,Synapse54
120,92647 (Huntington Beach),92647,6574,13.39,13.39,28932500.0,33867.74871894199,1756053771680,Synapse54,1756053771680,Synapse54
121,92648 (Huntington Beach),92648,4851,13.0,13.0,30280000.0,28473.954706364795,1756053771680,Synapse54,1756053771680,Synapse54
122,92649 (Huntington Beach),92649,3668,13.1,13.1,19831250.0,56450.29251686164,1756053771680,Synapse54,1756053771680,Synapse54
123,92651 (Laguna Beach),92651,2599,12.85,12.85,67526250.0,62490.433798214086,1756053771680,Synapse54,1756053771680,Synapse54
124,92653 (Laguna Hills),92653,2966,13.2,13.2,24331250.0,35888.268819247765,1756053771680,Synapse54,1756053771680,Synapse54
125,92655 (Midway City),92655,1079,14.97,14.97,2486250.0,12474.692560266567,1756053771680,Synapse54,1756053771680,Synapse54
126,92656 (Aliso Viejo),92656,5665,13.28,13.28,32877599.19921875,34966.50159209713,1756053771680,Synapse54,1756053771680,Synapse54
127,92657 (Newport Coast),92657,976,12.96,12.96,33871111.109375,40735.605455959,1756053771680,Synapse54,1756053771680,Synapse54
128,92660 (Newport Beach),92660,3898,12.98,12.98,34988824.7734375,72801.1498150933,1756053771680,Synapse54,1756053771680,Synapse54
129,92661 (Newport Beach),92661,390,12.66,12.66,2449775.0,14182.819254330147,1756053771680,Synapse54,1756053771680,Synapse54
130,92662 (Newport Beach),92662,319,14.18,14.18,756250.0,4073.1965054184398,1756053771680,Synapse54,1756053771680,Synapse54
131,92663 (Newport Beach),92663,2294,12.99,12.99,12661250.0,29524.238996506057,1756053771680,Synapse54,1756053771680,Synapse54
132,92672 (San Clemente),92672,5389,15.13,15.13,122097500.0,68144.85534340238,1756053771680,Synapse54,1756053771680,Synapse54
133,92673 (San Clemente),92673,2962,13.33,13.33,43796250.0,35322.34411652421,1756053771680,Synapse54,1756053771680,Synapse54
134,92675 (San Juan Capistrano),92675,4494,13.78,13.78,398135000.0,159328.0017001646,1756053771680,Synapse54,1756053771680,Synapse54
135,92676 (Silverado),92676,220,13.17,13.17,185577580.6484375,69847.88033705542,1756053771680,Synapse54,1756053771680,Synapse54
136,92677 (Laguna Niguel),92677,6922,13.14,13.14,62363750.0,49653.56764980074,1756053771680,Synapse54,1756053771680,Synapse54
137,92679 (Trabuco Canyon),92679,3472,13.28,13.28,131953669.3515625,96766.9142094817,1756053771680,Synapse54,1756053771680,Synapse54
138,92683 (Westminster),92683,10332,14.05,14.05,37225000.0,54186.216950067326,1756053771680,Synapse54,1756053771680,Synapse54
139,92688 (Rancho Santa Margarita),92688,4634,13.35,13.35,34180000.0,38611.769223276526,1756053771680,Synapse54,1756053771680,Synapse54
140,92691 (Mission Viejo),92691,4923,13.35,13.35,33036250.0,38001.18237164921,1756053771680,Synapse54,1756053771680,Synapse54
141,92692 (Mission Viejo),92692,5005,13.28,13.28,36926250.0,46348.02646266434,1756053771680,Synapse54,1756053771680,Synapse54
142,92694 (Ladera Ranch),92694,3479,13.85,13.85,30588750.0,43863.23830896375,1756053771680,Synapse54,1756053771680,Synapse54
143,92697 (Irvine),92697,69,13.83,13.83,640000.0,3555.8432426418512,1756053771680,Synapse54,1756053771680,Synapse54
144,92701 (Santa Ana),92701,5349,13.69,13.69,12300000.0,17909.285594515157,1756053771680,Synapse54,1756053771680,Synapse54
145,92703 (Santa Ana),92703,6992,14.64,14.64,15516250.0,25608.827947224716,1756053771680,Synapse54,1756053771680,Synapse54
146,92704 (Santa Ana),92704,9600,14.88,14.88,28642500.0,33855.42088207186,1756053771680,Synapse54,1756053771680,Synapse54
147,92705 (Santa Ana),92705,5507,13.43,13.43,43200000.0,77393.0258273789,1756053771680,Synapse54,1756053771680,Synapse54
148,92706 (Santa Ana),92706,3558,14.01,14.01,13002500.0,24009.66740740803,1756053771680,Synapse54,1756053771680,Synapse54
149,92707 (Santa Ana),92707,6290,14.99,14.99,19470000.0,30897.365733854946,1756053771680,Synapse54,1756053771680,Synapse54
150,92708 (Fountain Valley),92708,6076,13.28,13.28,33996250.0,27518.702015973777,1756053771680,Synapse54,1756053771680,Synapse54
151,92780 (Tustin),92780,5769,13.56,13.56,24413750.0,32757.49656408988,1756053771680,Synapse54,1756053771680,Synapse54
152,92782 (Tustin),92782,2988,12.95,12.95,21093750.0,42452.81886104531,1756053771680,Synapse54,1756053771680,Synapse54
153,92801 (Anaheim),92801,6125,14.04,14.04,22840000.0,36651.55106988114,1756053771680,Synapse54,1756053771680,Synapse54
154,92802 (Anaheim),92802,4449,13.98,13.98,16627666.6640625,25129.664495851255,1756053771680,Synapse54,1756053771680,Synapse54
155,92804 (Anaheim),92804,9725,14.07,14.07,27093750.0,36797.87377561943,1756053771680,Synapse54,1756053771680,Synapse54
156,92805 (Anaheim),92805,8661,14.33,14.33,24434833.3359375,26630.492011417336,1756053771680,Synapse54,1756053771680,Synapse54
157,92806 (Anaheim),92806,4306,13.6,13.6,30277500.0,35397.16242525879,1756053771680,Synapse54,1756053771680,Synapse54
158,92807 (Anaheim),92807,3962,13.49,13.49,43425000.0,49369.07786874545,1756053771680,Synapse54,1756053771680,Synapse54
159,92808 (Anaheim),92808,2107,13.0,13.0,135771250.0,67114.4473414959,1756053771680,Synapse54,1756053771680,Synapse54
