OBJECTID,DESCRIPTION,ID,MP13026A_B,MP13026A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90621 (Buena Park),90621,14270,50.95,50.95,14926250.0,21087.679435974318,1756053807980,Synapse54,1756053807980,Synapse54
2,90623 (La Palma),90623,7086,57.11,57.11,6976250.0,16169.900377776361,1756053807980,Synapse54,1756053807980,Synapse54
3,90630 (Cypress),90630,21757,55.4,55.4,23375000.0,30591.584822141205,1756053807980,Synapse54,1756053807980,Synapse54
4,90631 (La Habra),90631,27734,51.66,51.66,51115000.0,41125.47464364195,1756053807980,Synapse54,1756053807980,Synapse54
5,90638 (La Mirada),90638,20555,55.18,55.18,28975000.0,36363.589685550694,1756053807980,Synapse54,1756053807980,Synapse54
6,90639 (La Mirada),90639,798,57.62,57.62,628750.0,4050.9365282633644,1756053807980,Synapse54,1756053807980,Synapse54
7,90640 (Montebello),90640,24397,50.7,50.7,31072500.0,33723.07592538333,1756053807980,Synapse54,1756053807980,Synapse54
8,90650 (Norwalk),90650,40305,52.14,52.14,36745000.0,34075.03927766407,1756053807980,Synapse54,1756053807980,Synapse54
9,90660 (Pico Rivera),90660,24769,52.49,52.49,32288750.0,29498.64150538908,1756053807980,Synapse54,1756053807980,Synapse54
10,90670 (Santa Fe Springs),90670,7005,50.28,50.28,32167500.0,52293.866012792765,1756053807980,Synapse54,1756053807980,Synapse54
11,90680 (Stanton),90680,12290,49.07,49.07,10142500.0,25187.490876299296,1756053807980,Synapse54,1756053807980,Synapse54
12,92324 (Colton),92324,19152,44.36,44.36,103893750.0,95493.09326340992,1756053807980,Synapse54,1756053807980,Synapse54
13,90701 (Artesia),90701,6741,51.54,51.54,6072500.0,15226.251904130706,1756053807980,Synapse54,1756053807980,Synapse54
14,90703 (Cerritos),90703,22754,57.15,57.15,33382500.0,43957.88438492369,1756053807980,Synapse54,1756053807980,Synapse54
15,90704 (Avalon),90704,1525,49.79,49.79,487926250.0,217962.03793947026,1756053807980,Synapse54,1756053807980,Synapse54
16,90706 (Bellflower),90706,29748,49.98,49.98,23067500.0,21705.237676308017,1756053807980,Synapse54,1756053807980,Synapse54
17,90710 (Harbor City),90710,10501,49.91,49.91,8730000.0,14589.089922329094,1756053807980,Synapse54,1756053807980,Synapse54
18,90712 (Lakewood),90712,14554,55.88,55.88,16535000.0,22577.300170428734,1756053807980,Synapse54,1756053807980,Synapse54
19,90713 (Lakewood),90713,12355,57.37,57.37,12796250.0,16128.32750732679,1756053807980,Synapse54,1756053807980,Synapse54
20,90715 (Lakewood),90715,8536,54.16,54.16,6483750.0,15164.516714525105,1756053807980,Synapse54,1756053807980,Synapse54
21,90716 (Hawaiian Gardens),90716,4845,48.09,48.09,3653750.0,9011.135593632347,1756053807980,Synapse54,1756053807980,Synapse54
22,90717 (Lomita),90717,9544,54.46,54.46,7921250.0,16645.18298324878,1756053807980,Synapse54,1756053807980,Synapse54
23,90720 (Los Alamitos),90720,9135,49.66,49.66,23170000.0,25290.212669775807,1756053807980,Synapse54,1756053807980,Synapse54
24,90723 (Paramount),90723,17904,46.14,46.14,17825000.0,25500.519197521357,1756053807980,Synapse54,1756053807980,Synapse54
25,90731 (San Pedro),90731,21277,45.69,45.69,34893750.0,86960.88531120957,1756053807980,Synapse54,1756053807980,Synapse54
26,90732 (San Pedro),90732,8773,50.05,50.05,12383750.0,32670.676087233125,1756053807980,Synapse54,1756053807980,Synapse54
27,90740 (Seal Beach),90740,9085,42.55,42.55,42653750.0,55814.47434146027,1756053807980,Synapse54,1756053807980,Synapse54
28,90742 (Sunset Beach),90742,360,45.34,45.34,728750.0,5465.495476873691,1756053807980,Synapse54,1756053807980,Synapse54
29,90743 (Surfside),90743,179,47.61,47.61,218750.0,2701.3356277779667,1756053807980,Synapse54,1756053807980,Synapse54
30,90744 (Wilmington),90744,18849,48.83,48.83,31171250.0,40903.96811881212,1756053807980,Synapse54,1756053807980,Synapse54
31,90745 (Carson),90745,25275,51.38,51.38,35256250.0,31371.42910918017,1756053807980,Synapse54,1756053807980,Synapse54
32,90746 (Carson),90746,11548,54.16,54.16,17991250.0,30527.06992508295,1756053807980,Synapse54,1756053807980,Synapse54
33,90747 (Carson),90747,463,48.84,48.84,2237500.0,6350.89257261219,1756053807980,Synapse54,1756053807980,Synapse54
34,90755 (Signal Hill),90755,4729,50.47,50.47,8442500.0,20923.47092526615,1756053807980,Synapse54,1756053807980,Synapse54
35,90802 (Long Beach),90802,13962,36.03,36.03,22857500.0,60447.90859170592,1756053807980,Synapse54,1756053807980,Synapse54
36,90803 (Long Beach),90803,12062,42.1,42.1,17262500.0,48052.98046210528,1756053807980,Synapse54,1756053807980,Synapse54
37,90804 (Long Beach),90804,12530,40.72,40.72,8283750.0,17404.825022744844,1756053807980,Synapse54,1756053807980,Synapse54
38,90805 (Long Beach),90805,31859,45.84,45.84,28283750.0,28282.847625561633,1756053807980,Synapse54,1756053807980,Synapse54
39,90806 (Long Beach),90806,15205,49.83,49.83,14482500.0,29336.82441539369,1756053807980,Synapse54,1756053807980,Synapse54
40,90807 (Long Beach),90807,12827,50.3,50.3,18830000.0,30252.877556949352,1756053807980,Synapse54,1756053807980,Synapse54
41,90808 (Long Beach),90808,17092,55.85,55.85,29252500.0,30714.377057701477,1756053807980,Synapse54,1756053807980,Synapse54
42,90810 (Long Beach),90810,14211,48.49,48.49,23680000.0,23549.221417701145,1756053807980,Synapse54,1756053807980,Synapse54
43,90813 (Long Beach),90813,14885,38.38,38.38,15312500.0,22742.295497020463,1756053807980,Synapse54,1756053807980,Synapse54
44,90814 (Long Beach),90814,7003,44.72,44.72,4823750.0,13832.719778893748,1756053807980,Synapse54,1756053807980,Synapse54
45,90815 (Long Beach),90815,15614,50.78,50.78,26080178.5703125,29824.793801974556,1756053807980,Synapse54,1756053807980,Synapse54
46,90822 (Long Beach),90822,0,0.0,0.0,2023750.0,6752.358352422547,1756053807980,Synapse54,1756053807980,Synapse54
47,90840 (Long Beach),90840,481,25.41,25.41,1820000.0,7002.623034877741,1756053807980,Synapse54,1756053807980,Synapse54
48,91001 (Altadena),91001,8549,54.22,54.22,30072500.0,28398.778252080778,1756053807980,Synapse54,1756053807980,Synapse54
49,91006 (Arcadia),91006,13975,54.73,54.73,25265000.0,46650.75143039238,1756053807980,Synapse54,1756053807980,Synapse54
50,91007 (Arcadia),91007,13900,53.08,53.08,20713750.0,21959.462716422113,1756053807980,Synapse54,1756053807980,Synapse54
51,91008 (Duarte),91008,521,43.2,43.2,8665000.0,14371.0500767675,1756053807980,Synapse54,1756053807980,Synapse54
52,91010 (Duarte),91010,10895,51.13,51.13,20787500.0,31744.17864013616,1756053807980,Synapse54,1756053807980,Synapse54
53,91011 (La Canada Flintridge),91011,7616,48.84,48.84,236130000.0,119728.34233481884,1756053807980,Synapse54,1756053807980,Synapse54
54,91016 (Monrovia),91016,17490,52.6,52.6,65495000.0,54264.51282000843,1756053807980,Synapse54,1756053807980,Synapse54
55,91020 (Montrose),91020,3381,49.76,49.76,2812500.0,9846.720145603033,1756053807980,Synapse54,1756053807980,Synapse54
56,91024 (Sierra Madre),91024,4302,48.15,48.15,11682500.0,17377.450162386187,1756053807980,Synapse54,1756053807980,Synapse54
57,91030 (South Pasadena),91030,10061,48.57,48.57,13103750.0,16515.93148070902,1756053807980,Synapse54,1756053807980,Synapse54
58,91040 (Sunland),91040,10164,55.58,55.58,54006250.0,62215.25556794039,1756053807980,Synapse54,1756053807980,Synapse54
59,91042 (Tujunga),91042,11985,52.45,52.45,240885000.0,104973.13160724998,1756053807980,Synapse54,1756053807980,Synapse54
60,91101 (Pasadena),91101,7250,39.95,39.95,4570000.0,10401.50972517863,1756053807980,Synapse54,1756053807980,Synapse54
61,91103 (Pasadena),91103,10466,47.27,47.27,18846250.0,23446.6992835936,1756053807980,Synapse54,1756053807980,Synapse54
