OBJECTID,DESCRIPTION,ID,MP13029A_B,MP13029A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92322 (Cedarpines Park),92322,141,14.11,14.11,23482500.0,36314.45693055894,1756053826315,Synapse54,1756053826315,Synapse54
2,92325 (Crestline),92325,1539,19.33,19.33,40745000.0,36360.74748998447,1756053826315,Synapse54,1756053826315,Synapse54
3,92327 (Daggett),92327,43,13.03,13.03,117928750.0,70424.41944943395,1756053826315,Synapse54,1756053826315,Synapse54
4,92328 (Death Valley),92328,115,20.43,20.43,11250172500.0,592837.0236694143,1756053826315,Synapse54,1756053826315,Synapse54
5,92332 (Essex),92332,10,17.86,17.86,8479478750.0,491222.04307418433,1756053826315,Synapse54,1756053826315,Synapse54
6,92333 (Fawnskin),92333,50,11.6,11.6,9801250.0,23411.774905525286,1756053826315,Synapse54,1756053826315,Synapse54
7,92335 (Fontana),92335,18466,27.37,27.37,65380000.0,40779.92289285877,1756053826315,Synapse54,1756053826315,Synapse54
8,92336 (Fontana),92336,23274,27.43,27.43,78431250.0,47083.67147810428,1756053826315,Synapse54,1756053826315,Synapse54
9,92337 (Fontana),92337,7747,28.02,28.02,50931250.0,35486.09943380774,1756053826315,Synapse54,1756053826315,Synapse54
10,92338 (Ludlow),92338,5,13.16,13.16,2457380000.0,333491.21301942435,1756053826315,Synapse54,1756053826315,Synapse54
11,92339 (Forest Falls),92339,210,20.98,20.98,346780000.0,130998.42700267813,1756053826315,Synapse54,1756053826315,Synapse54
12,92341 (Green Valley Lake),92341,44,11.61,11.61,4170000.0,10148.730814482513,1756053826315,Synapse54,1756053826315,Synapse54
13,92342 (Helendale),92342,1021,19.13,19.13,490536250.0,128551.89282404495,1756053826315,Synapse54,1756053826315,Synapse54
14,92344 (Hesperia),92344,4848,26.58,26.58,145977500.0,59094.021951112074,1756053826315,Synapse54,1756053826315,Synapse54
15,92345 (Hesperia),92345,16818,26.24,26.24,299282877.56640625,94717.5221552905,1756053826315,Synapse54,1756053826315,Synapse54
16,92346 (Highland),92346,11006,24.44,24.44,75450000.0,50516.84006554063,1756053826315,Synapse54,1756053826315,Synapse54
17,92347 (Hinkley),92347,106,16.64,16.64,1168466250.0,223429.79570630056,1756053826315,Synapse54,1756053826315,Synapse54
