OBJECTID,DESCRIPTION,ID,MP12207A_B,MP12207A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,85328 (Cibola),85328,4,2.68,2.68,527471250.0,162187.00041854146,1756053858904,Synapse54,1756053858904,Synapse54
2,92322 (Cedarpines Park),92322,48,4.8,4.8,23482500.0,36314.45693055894,1756053858904,Synapse54,1756053858904,Synapse54
3,92325 (Crestline),92325,497,6.24,6.24,40745000.0,36360.74748998447,1756053858904,Synapse54,1756053858904,Synapse54
4,85334 (Ehrenberg),85334,14,2.47,2.47,14281250.0,17788.853656653973,1756053858904,Synapse54,1756053858904,Synapse54
5,92327 (Daggett),92327,23,6.97,6.97,117928750.0,70424.41944943395,1756053858904,Synapse54,1756053858904,Synapse54
6,85344 (Parker),85344,443,6.05,6.05,2314440000.0,344326.42202693666,1756053858904,Synapse54,1756053858904,Synapse54
7,92328 (Death Valley),92328,39,6.93,6.93,11250172500.0,592837.0236694143,1756053858904,Synapse54,1756053858904,Synapse54
8,92332 (Essex),92332,5,8.93,8.93,8479478750.0,491222.04307418433,1756053858904,Synapse54,1756053858904,Synapse54
9,85356 (Wellton),85356,127,3.79,3.79,13072497500.0,801783.4171452732,1756053858904,Synapse54,1756053858904,Synapse54
10,92333 (Fawnskin),92333,18,4.18,4.18,9801250.0,23411.774905525286,1756053858904,Synapse54,1756053858904,Synapse54
11,92335 (Fontana),92335,6070,9.0,9.0,65380000.0,40779.92289285877,1756053858904,Synapse54,1756053858904,Synapse54
12,92336 (Fontana),92336,5788,6.82,6.82,78431250.0,47083.67147810428,1756053858904,Synapse54,1756053858904,Synapse54
13,92337 (Fontana),92337,2319,8.39,8.39,50931250.0,35486.09943380774,1756053858904,Synapse54,1756053858904,Synapse54
14,92338 (Ludlow),92338,3,7.89,7.89,2457380000.0,333491.21301942435,1756053858904,Synapse54,1756053858904,Synapse54
15,92339 (Forest Falls),92339,63,6.29,6.29,346780000.0,130998.42700267813,1756053858904,Synapse54,1756053858904,Synapse54
16,92341 (Green Valley Lake),92341,16,4.22,4.22,4170000.0,10148.730814482513,1756053858904,Synapse54,1756053858904,Synapse54
17,92342 (Helendale),92342,330,6.18,6.18,490536250.0,128551.89282404495,1756053858904,Synapse54,1756053858904,Synapse54
18,92344 (Hesperia),92344,1305,7.15,7.15,145977500.0,59094.021951112074,1756053858904,Synapse54,1756053858904,Synapse54
19,92345 (Hesperia),92345,5711,8.91,8.91,299282877.56640625,94717.5221552905,1756053858904,Synapse54,1756053858904,Synapse54
20,92346 (Highland),92346,3016,6.7,6.7,75450000.0,50516.84006554063,1756053858904,Synapse54,1756053858904,Synapse54
21,92347 (Hinkley),92347,42,6.59,6.59,1168466250.0,223429.79570630056,1756053858904,Synapse54,1756053858904,Synapse54
22,92350 (Loma Linda),92350,1,7.69,7.69,325000.0,2662.272482983109,1756053858904,Synapse54,1756053858904,Synapse54
23,92352 (Lake Arrowhead),92352,282,4.69,4.69,34961250.0,39198.68135370152,1756053858904,Synapse54,1756053858904,Synapse54
24,92354 (Loma Linda),92354,1322,7.14,7.14,19262500.0,32113.439694581248,1756053858904,Synapse54,1756053858904,Synapse54
25,92356 (Lucerne Valley),92356,321,6.92,6.92,1747987500.0,262557.9121112412,1756053858904,Synapse54,1756053858904,Synapse54
26,92358 (Lytle Creek),92358,35,5.79,5.79,95396250.0,59237.84705163992,1756053858904,Synapse54,1756053858904,Synapse54
27,92359 (Mentone),92359,504,7.19,7.19,199802500.0,146993.5666282572,1756053858904,Synapse54,1756053858904,Synapse54
28,92363 (Needles),92363,287,6.56,6.56,4995917500.0,522891.6342496342,1756053858904,Synapse54,1756053858904,Synapse54
29,92364 (Nipton),92364,6,10.17,10.17,6662700000.0,495982.3479221093,1756053858904,Synapse54,1756053858904,Synapse54
30,92365 (Newberry Springs),92365,80,4.53,4.53,2015372500.0,283603.0952464746,1756053858904,Synapse54,1756053858904,Synapse54
31,92368 (Oro Grande),92368,48,6.86,6.86,263910000.0,69753.73208396425,1756053858904,Synapse54,1756053858904,Synapse54
32,92371 (Phelan),92371,890,6.65,6.65,495092500.0,136736.61966382695,1756053858904,Synapse54,1756053858904,Synapse54
33,92372 (Pinon Hills),92372,248,6.0,6.0,74847500.0,51049.10986571373,1756053858904,Synapse54,1756053858904,Synapse54
34,92373 (Redlands),92373,1816,6.45,6.45,163128750.0,89297.98121789581,1756053858904,Synapse54,1756053858904,Synapse54
35,92374 (Redlands),92374,2580,7.11,7.11,76466250.0,52153.39311998224,1756053858904,Synapse54,1756053858904,Synapse54
36,92376 (Rialto),92376,5591,8.78,8.78,49923750.0,39680.21948472379,1756053858904,Synapse54,1756053858904,Synapse54
37,92377 (Rialto),92377,1286,7.47,7.47,36657500.0,29736.2696185539,1756053858904,Synapse54,1756053858904,Synapse54
38,92378 (Rimforest),92378,16,7.58,7.58,1331250.0,5709.97183051108,1756053858904,Synapse54,1756053858904,Synapse54
39,92382 (Running Springs),92382,250,5.62,5.62,72786250.0,41738.801968663414,1756053858904,Synapse54,1756053858904,Synapse54
40,92384 (Shoshone),92384,4,6.56,6.56,6149136250.0,351475.9713463227,1756053858904,Synapse54,1756053858904,Synapse54
41,92385 (Skyforest),92385,17,6.72,6.72,1886250.0,7682.238548172248,1756053858904,Synapse54,1756053858904,Synapse54
42,92386 (Sugarloaf),92386,83,4.17,4.17,5848750.0,12327.857358947613,1756053858904,Synapse54,1756053858904,Synapse54
43,92389 (Tecopa),92389,16,6.84,6.84,1444243750.0,199918.4382367414,1756053858904,Synapse54,1756053858904,Synapse54
44,92391 (Twin Peaks),92391,138,7.19,7.19,7715000.0,18302.818690646458,1756053858904,Synapse54,1756053858904,Synapse54
45,92392 (Victorville),92392,4021,8.4,8.4,137711250.0,60765.98824847531,1756053858904,Synapse54,1756053858904,Synapse54
46,92394 (Victorville),92394,2508,7.79,7.79,121477500.0,88305.61698855038,1756053858904,Synapse54,1756053858904,Synapse54
47,92395 (Victorville),92395,2833,8.08,8.08,68708145.1640625,47846.85223202196,1756053858904,Synapse54,1756053858904,Synapse54
48,92397 (Wrightwood),92397,201,4.8,4.8,140215000.0,84425.74718512002,1756053858904,Synapse54,1756053858904,Synapse54
49,92398 (Yermo),92398,59,6.31,6.31,101285000.0,60647.751832491886,1756053858904,Synapse54,1756053858904,Synapse54
50,92399 (Yucaipa),92399,2984,6.82,6.82,172393750.0,78202.61353775508,1756053858904,Synapse54,1756053858904,Synapse54
51,92401 (San Bernardino),92401,119,9.94,9.94,2431250.0,11026.825288417274,1756053858904,Synapse54,1756053858904,Synapse54
52,92404 (San Bernardino),92404,4318,9.15,9.15,83843750.0,59702.91140620923,1756053858904,Synapse54,1756053858904,Synapse54
53,92405 (San Bernardino),92405,2148,9.65,9.65,19550000.0,22817.92291360122,1756053858904,Synapse54,1756053858904,Synapse54
54,92407 (San Bernardino),92407,4172,8.17,8.17,655255227.2773438,262930.7761975885,1756053858904,Synapse54,1756053858904,Synapse54
55,92408 (San Bernardino),92408,1069,9.57,9.57,44236250.0,37255.81035689737,1756053858904,Synapse54,1756053858904,Synapse54
56,92410 (San Bernardino),92410,3295,9.06,9.06,31268750.0,49893.12531732991,1756053858904,Synapse54,1756053858904,Synapse54
57,92411 (San Bernardino),92411,1634,8.55,8.55,17991250.0,18900.85406904243,1756053858904,Synapse54,1756053858904,Synapse54
58,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756053858904,Synapse54,1756053858904,Synapse54
59,92501 (Riverside),92501,1474,8.46,8.46,22537500.0,29360.344553073046,1756053858904,Synapse54,1756053858904,Synapse54
60,92503 (Riverside),92503,5590,7.78,7.78,107661250.0,83524.3000869383,1756053858904,Synapse54,1756053858904,Synapse54
61,92504 (Riverside),92504,3277,7.58,7.58,85888750.0,78010.88809143189,1756053858904,Synapse54,1756053858904,Synapse54
62,92505 (Riverside),92505,3275,8.54,8.54,47511250.0,39417.83554710996,1756053858904,Synapse54,1756053858904,Synapse54
63,92506 (Riverside),92506,2228,6.08,6.08,65882500.0,59310.71744028767,1756053858904,Synapse54,1756053858904,Synapse54
64,92507 (Riverside),92507,4456,8.54,8.54,67203750.0,75253.54192382339,1756053858904,Synapse54,1756053858904,Synapse54
65,92508 (Riverside),92508,1652,6.05,6.05,48228750.0,42104.659565642694,1756053858904,Synapse54,1756053858904,Synapse54
66,92509 (Jurupa Valley),92509,5008,8.29,8.29,116866250.0,47428.70899972364,1756053858904,Synapse54,1756053858904,Synapse54
67,92518 (March Air Reserve Base),92518,38,2.5,2.5,38241250.0,32992.245231222754,1756053858904,Synapse54,1756053858904,Synapse54
68,92521 (Riverside),92521,399,9.62,9.62,4610000.0,12148.698391121136,1756053858904,Synapse54,1756053858904,Synapse54
69,92530 (Lake Elsinore),92530,3914,8.62,8.62,438397500.0,112963.1858719261,1756053858904,Synapse54,1756053858904,Synapse54
70,92532 (Lake Elsinore),92532,1393,6.77,6.77,63673750.0,65388.410720160115,1756053858904,Synapse54,1756053858904,Synapse54
71,92536 (Aguanga),92536,145,4.87,4.87,354418750.0,120213.46731845246,1756053858904,Synapse54,1756053858904,Synapse54
72,92539 (Anza),92539,239,5.96,5.96,579091250.0,144201.50706698783,1756053858904,Synapse54,1756053858904,Synapse54
73,92543 (Hemet),92543,2467,7.99,7.99,68802500.0,61367.79442167451,1756053858904,Synapse54,1756053858904,Synapse54
74,92544 (Hemet),92544,2975,8.07,8.07,414903750.0,151338.12956250404,1756053858904,Synapse54,1756053858904,Synapse54
75,92545 (Hemet),92545,2269,6.12,6.12,104872500.0,86730.68453675932,1756053858904,Synapse54,1756053858904,Synapse54
76,92548 (Homeland),92548,579,8.13,8.13,38288750.0,33509.64277118994,1756053858904,Synapse54,1756053858904,Synapse54
77,92549 (Idyllwild),92549,147,4.18,4.18,358915000.0,107864.63976792223,1756053858904,Synapse54,1756053858904,Synapse54
78,92551 (Moreno Valley),92551,2097,8.21,8.21,22831250.0,19728.964458924765,1756053858904,Synapse54,1756053858904,Synapse54
79,92553 (Moreno Valley),92553,5225,9.27,9.27,38985000.0,28591.739186878363,1756053858904,Synapse54,1756053858904,Synapse54
80,92555 (Moreno Valley),92555,2750,7.58,7.58,275277500.0,91449.45508308428,1756053858904,Synapse54,1756053858904,Synapse54
81,92557 (Moreno Valley),92557,3344,8.03,8.03,79985000.0,53460.86448257353,1756053858904,Synapse54,1756053858904,Synapse54
82,92561 (Mountain Center),92561,75,4.6,4.6,1620912500.0,315017.98964642035,1756053858904,Synapse54,1756053858904,Synapse54
