OBJECTID,DESCRIPTION,ID,MP12205A_B,MP12205A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,85328 (Cibola),85328,1,0.67,0.67,527471250.0,162187.00041854146,1756053878667,Synapse54,1756053878667,Synapse54
2,85334 (Ehrenberg),85334,3,0.53,0.53,14281250.0,17788.853656653973,1756053878667,Synapse54,1756053878667,Synapse54
3,85344 (Parker),85344,89,1.22,1.22,2314440000.0,344326.42202693666,1756053878667,Synapse54,1756053878667,Synapse54
4,85356 (Wellton),85356,29,0.87,0.87,13072497500.0,801783.4171452732,1756053878667,Synapse54,1756053878667,Synapse54
5,85364 (Yuma),85364,865,1.52,1.52,110230000.0,45460.76683107735,1756053878667,Synapse54,1756053878667,Synapse54
6,85365 (Yuma),85365,588,1.37,1.37,1266628750.0,392610.306711916,1756053878667,Synapse54,1756053878667,Synapse54
7,86403 (Lake Havasu City),86403,181,1.15,1.15,59838750.0,57038.76479084641,1756053878667,Synapse54,1756053878667,Synapse54
8,86404 (Lake Havasu City),86404,147,0.86,0.86,742061250.0,137802.6121169432,1756053878667,Synapse54,1756053878667,Synapse54
9,86406 (Lake Havasu City),86406,220,0.99,0.99,938367500.0,155025.73963829104,1756053878667,Synapse54,1756053878667,Synapse54
10,86426 (Fort Mohave),86426,140,0.98,0.98,126391250.0,55703.99409195367,1756053878667,Synapse54,1756053878667,Synapse54
11,86436 (Topock),86436,12,0.6,0.6,270866250.0,72492.56980588361,1756053878667,Synapse54,1756053878667,Synapse54
12,86440 (Mohave Valley),86440,70,1.06,1.06,366532500.0,87291.4552011968,1756053878667,Synapse54,1756053878667,Synapse54
13,89047 (Silverpeak),89047,2,0.75,0.75,5060995000.0,547722.7565949309,1756053878667,Synapse54,1756053878667,Synapse54
14,89124 (Las Vegas),89124,8,1.1,1.1,2943311250.0,385730.5180699903,1756053878667,Synapse54,1756053878667,Synapse54
15,89402 (Crystal Bay),89402,2,0.67,0.67,3416250.0,9341.781768582085,1756053878667,Synapse54,1756053878667,Synapse54
16,89405 (Empire),89405,1,2.22,2.22,5973371250.0,397551.10654173396,1756053878667,Synapse54,1756053878667,Synapse54
17,89410 (Gardnerville),89410,104,1.11,1.11,911897500.0,254260.11796105534,1756053878667,Synapse54,1756053878667,Synapse54
18,89444 (Wellington),89444,17,0.67,0.67,1022086250.0,275733.5588463532,1756053878667,Synapse54,1756053878667,Synapse54
