OBJECTID,DESCRIPTION,ID,MP28591A_B,MP28591A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor,MEDAGE_CY,TOTPOP_CY,MEDHINC_CY,DIVINDX_CY,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,GENZ_CY,GENZ_CY_P,DIVINDX_FY,MP13026A_B,MP13026A_B_I,MP12207A_B,MP12207A_B_I,MP13023A_B,MP13023A_B_P,MEDAGE_FY,GENALPHACY,GENALPHACY_P,MP13019A_B,MP13019A_B_P,MP13026A_B_P,MP12206A_B,MP12206A_B_I,MP28591A_B_P,MEDHINC_FY,TOTPOP_FY,GENZ_FY,GENZ_FY_P,MP12205A_B,MP12205A_B_I,MP14029A_B,MP14029A_B_I,MP12097A_B,MP12097A_B_P,MP28646A_B,MP28646A_B_P,GENALPHAFY,GENALPHAFY_P,MP14029A_B_P,MP28646A_B_I,MP13029A_B,MP13029A_B_P,MP13029A_B_I,MP12206A_B_P,MP12207A_B_P,MP12205A_B_P,MP13023A_B_I,MP13019A_B_I
1747.0,00012 (Mt Meadows Area),12,0.0,0.0,0.0,137521250.0,76875.69774992974,1756054098062.0,Synapse54,1756054098062.0,Synapse54,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748.0,00016 (Sequoia National Forest),16,1.0,111.0,111.0,154306250.0,63668.544855978376,1756054098062.0,Synapse54,1756054098062.0,Synapse54,60.0,8.0,47011,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,37.5,2.0,92.0,0.0,0.0,0,0.0,65.0,3,37.5,1,20.0,40.0,0.0,0.0,20.0,21941,8,1,12.5,0.0,0.0,1.0,106.0,1,20.0,2,40.0,2,25.0,20.0,91.0,1,20.0,69.0,0.0,0.0,0.0,0.0,82.0
1749.0,00017 (Northeast Fresno County),17,0.0,0.0,0.0,2313900000.0,330511.36818981776,1756054098062.0,Synapse54,1756054098062.0,Synapse54,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750.0,00018 (Los Padres Ntl Forest),18,0.0,0.0,0.0,347607500.0,107094.36518423074,1756054098062.0,Synapse54,1756054098062.0,Synapse54,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751.0,00019 (Lassen Ntl Forest),19,1.0,97.0,97.0,1855461250.0,212005.1674719632,1756054098062.0,Synapse54,1756054098062.0,Synapse54,32.5,10.0,42426,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20.0,66.9,1.0,40.0,0.0,0.0,0,0.0,32.5,0,0.0,1,10.0,20.0,1.0,200.0,10.0,36994,9,1,11.11,0.0,0.0,1.0,93.0,2,20.0,3,30.0,3,33.33,10.0,79.0,1,10.0,60.0,10.0,0.0,0.0,0.0,72.0
1752.0,00020 (Sierra National Forest),20,0.0,0.0,0.0,1603820000.0,219413.45714640716,1756054098062.0,Synapse54,1756054098062.0,Synapse54,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753.0,00022 (Jackson St Forest),22,6.0,92.0,92.0,47792500.0,34399.20533874362,1756054098062.0,Synapse54,1756054098062.0,Synapse54,34.0,62.0,175000,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,27.14,78.2,11.0,69.0,2.0,64.0,3,5.0,35.0,4,5.71,6,10.0,21.67,3.0,94.0,11.67,55000,70,22,31.43,1.0,134.0,8.0,117.0,8,13.33,19,31.67,10,14.29,16.67,106.0,7,11.67,57.0,6.67,5.0,1.67,36.0,56.0
1754.0,00026 (East Tulare County),26,4.0,94.0,94.0,5239428750.0,522077.81545398873,1756054098062.0,Synapse54,1756054098062.0,Synapse54,66.9,37.0,57538,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13.51,57.8,7.0,68.0,1.0,50.0,2,6.06,64.2,1,2.7,3,9.09,21.21,2.0,97.0,12.12,47338,35,3,8.57,1.0,208.0,5.0,113.0,4,12.12,11,33.33,1,2.86,15.15,106.0,4,12.12,58.0,6.06,3.03,0.0,28.0,52.0
1755.0,00028 (Plumas Ntl Forest),28,0.0,0.0,0.0,504135000.0,145104.8077119237,1756054098062.0,Synapse54,1756054098062.0,Synapse54,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756.0,00029 (Tahoe National Forest),29,1.0,156.0,156.0,9528750.0,15064.037879563004,1756054098062.0,Synapse54,1756054098062.0,Synapse54,58.8,5.0,87500,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.0,56.0,1.0,64.0,0.0,0.0,0,0.0,22.5,1,20.0,0,0.0,0.0,0.0,0.0,0.0,27500,5,1,20.0,0.0,0.0,1.0,149.0,1,25.0,1,25.0,2,40.0,25.0,63.0,0,0.0,96.0,0.0,0.0,0.0,0.0,0.0
